,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
01-01,0.364,1.104,,,1.142,0.732,,,,,0.468,,,0.395,0.949,,,,1.213,
01-02,0.349,0.693,,,0.420,0.357,,,,,,,,,0.829,,,,0.738,
01-03,0.181,0.719,,,0.203,0.292,,,,,,,,0.341,0.631,,0.525,,0.712,
01-04,0.774,0.575,,,0.097,0.207,,,,,1.468,,,1.135,0.343,,0.587,,0.936,
01-05,0.682,0.387,,,,0.790,,,,,0.607,,,0.560,0.339,,0.405,,0.833,
01-06,0.500,0.242,,,0.736,0.555,,,,,,,,0.390,0.486,,0.073,,0.581,
01-07,0.499,0.462,,,0.638,0.549,,,,,,,,,0.524,,0.083,,0.270,
01-08,0.611,0.852,,,0.382,0.414,,,,,,,,,0.635,,,,0.404,
01-09,0.776,0.513,,,0.797,0.278,,,,,,,,0.038,0.226,,0.092,,0.191,
01-10,0.719,,,,,0.617,,,0.364,,,,,0.284,0.154,,0.120,0.287,0.390,
01-11,0.582,1.611,,,0.904,0.616,,,0.579,,0.861,,,0.453,0.519,,0.029,0.719,0.749,
01-12,0.390,0.858,,,0.632,0.574,,,0.194,0.565,,,,0.545,0.106,,,0.373,0.360,
01-13,0.153,0.652,,,0.416,0.304,,,0.867,,1.127,,,0.375,0.515,,,0.256,0.235,
01-14,,0.393,0.528,,,1.354,,,0.480,0.565,0.136,,,0.110,0.565,0.516,0.004,0.761,0.382,
01-15,0.181,0.274,0.718,,,1.021,,,0.528,,0.121,,,0.561,,0.915,0.048,0.347,0.314,
01-16,0.477,0.372,0.517,,,0.416,,,0.197,,,,,0.721,,0.262,,0.332,0.593,
01-17,0.677,0.227,0.404,,0.044,0.408,,,0.066,,0.086,,,0.824,0.568,1.024,0.183,0.393,0.481,
01-18,0.725,0.299,0.216,,0.060,1.057,0.421,,,,0.105,,,0.831,0.542,0.729,0.201,0.566,0.885,
01-19,0.573,0.181,0.437,,0.247,0.626,0.446,,0.145,0.246,0.166,,,0.699,0.499,0.666,0.498,,0.380,
01-20,0.392,0.440,0.572,,0.167,1.265,0.670,,0.628,0.281,0.079,,,0.359,0.496,0.638,,,0.320,
01-21,0.391,0.620,0.607,,0.632,0.828,0.545,,0.592,,0.074,,,,0.218,0.700,,0.068,0.183,
01-22,0.579,0.490,0.397,,0.411,,0.473,,0.401,0.238,0.251,,,0.889,0.444,,0.462,0.196,0.449,
01-23,0.271,0.426,0.452,,,,0.370,,0.478,0.267,0.185,,,1.013,0.516,,0.212,0.169,0.858,
