Dates,Max,std
2000-01-01 00:00:00,30.099,3.0527
2000-02-01 00:00:00,32.9838,2.0623
2000-03-01 00:00:00,36.9758,4.218
2000-04-01 00:00:00,45.9269,7.4986
2000-05-01 00:00:00,47.9777,6.2816
2000-06-01 00:00:00,48.7197,7.9518
2000-07-01 00:00:00,52.4016,4.355
2000-08-01 00:00:00,48.7477,6.9164
2000-09-01 00:00:00,42.704,8.8039
2000-10-01 00:00:00,39.8545,4.5179
2000-11-01 00:00:00,34.0887,3.7044
2000-12-01 00:00:00,32.089,4.9374
2001-01-01 00:00:00,39.2917,3.9436
2001-02-01 00:00:00,43.3939,3.5595
2001-03-01 00:00:00,51.4487,3.9735
2001-04-01 00:00:00,52.769,4.9088
2001-05-01 00:00:00,52.33,5.2629
2001-06-01 00:00:00,53.167,5.6029
2001-07-01 00:00:00,54.9674,5.8008
2001-08-01 00:00:00,55.6567,5.6313
2001-09-01 00:00:00,51.5417,9.0564
2001-10-01 00:00:00,45.6422,11.705
2001-11-01 00:00:00,41.2153,4.2542
2001-12-01 00:00:00,35.7739,5.2435
2002-01-01 00:00:00,38.5561,4.3724
2002-02-01 00:00:00,45.0157,6.1562
2002-03-01 00:00:00,52.5252,2.9797
2002-04-01 00:00:00,53.8213,3.3225
2002-05-01 00:00:00,54.6032,6.2229
2002-06-01 00:00:00,53.947,5.7111
2002-07-01 00:00:00,50.929,9.8832
2002-08-01 00:00:00,52.2994,5.2388
2002-09-01 00:00:00,50.5167,7.5846
2002-10-01 00:00:00,46.5665,4.0257
2002-11-01 00:00:00,41.135,6.8759
2002-12-01 00:00:00,37.1948,6.1031
2003-01-01 00:00:00,37.3697,4.4425
2003-02-01 00:00:00,47.6082,3.4824
2003-03-01 00:00:00,50.5171,6.5716
2003-04-01 00:00:00,54.2323,4.0265
2003-05-01 00:00:00,54.2143,3.403
2003-06-01 00:00:00,44.8941,6.2939
2003-07-01 00:00:00,53.2724,6.1246
2003-08-01 00:00:00,53.6884,6.9585
2003-09-01 00:00:00,46.761,6.8614
2003-10-01 00:00:00,48.3061,3.5707
2003-11-01 00:00:00,42.2087,3.2734
2003-12-01 00:00:00,37.1435,4.2924
2004-01-01 00:00:00,38.4265,7.6687
2004-02-01 00:00:00,47.1369,4.028
2004-03-01 00:00:00,50.6694,5.4645
2004-04-01 00:00:00,54.5547,5.6056
2004-05-01 00:00:00,54.171,5.4236
2004-06-01 00:00:00,53.98,6.5644
2004-07-01 00:00:00,54.5416,5.7676
2004-08-01 00:00:00,55.3955,3.2937
2004-09-01 00:00:00,51.412,3.7232
2004-10-01 00:00:00,45.3565,6.1159
2004-11-01 00:00:00,41.4553,3.4948
2004-12-01 00:00:00,37.2829,3.3396
2005-01-01 00:00:00,38.4497,2.7915
2005-02-01 00:00:00,44.7229,3.5379
2005-03-01 00:00:00,51.9158,4.4342
2005-04-01 00:00:00,53.2387,2.9544
2005-05-01 00:00:00,50.5348,5.006
2005-06-01 00:00:00,51.371,5.926
