Dates,Max,std,Max+sd,Max-sd
2000-01-01,4.91,0.59,5.50,4.32
2000-02-01,5.47,0.46,5.93,5.02
2000-03-01,6.35,0.94,7.28,5.41
2000-04-01,9.52,2.46,11.98,7.06
2000-05-01,9.34,1.56,10.90,7.78
2000-06-01,9.71,1.62,11.33,8.09
2000-07-01,9.48,0.96,10.44,8.52
2000-08-01,9.76,1.56,11.32,8.20
2000-09-01,7.70,1.69,9.39,6.01
2000-10-01,6.98,0.96,7.94,6.02
2000-11-01,5.64,0.89,6.54,4.75
2000-12-01,4.86,0.88,5.74,3.98
2001-01-01,5.76,0.70,6.46,5.07
2001-02-01,7.32,0.94,8.27,6.38
2001-03-01,10.36,1.30,11.66,9.06
2001-04-01,10.51,1.28,11.79,9.23
2001-05-01,9.97,1.52,11.49,8.45
2001-06-01,9.98,0.98,10.96,9.00
2001-07-01,10.08,1.06,11.14,9.02
2001-08-01,10.60,0.96,11.56,9.64
2001-09-01,10.45,1.26,11.70,9.19
2001-10-01,8.68,2.04,10.72,6.63
2001-11-01,7.56,1.04,8.60,6.53
2001-12-01,6.38,0.92,7.30,5.47
2002-01-01,6.97,0.98,7.94,5.99
2002-02-01,8.71,1.32,10.02,7.39
2002-03-01,11.34,1.03,12.37,10.31
2002-04-01,11.21,1.10,12.32,10.11
2002-05-01,10.71,1.53,12.24,9.18
2002-06-01,10.28,1.14,11.42,9.14
2002-07-01,9.42,1.84,11.26,7.58
2002-08-01,10.12,0.98,11.10,9.14
2002-09-01,10.15,1.33,11.48,8.82
2002-10-01,8.92,1.05,9.97,7.88
2002-11-01,7.37,1.34,8.71,6.03
2002-12-01,6.55,1.13,7.68,5.42
2003-01-01,6.79,1.17,7.96,5.62
2003-02-01,9.20,0.93,10.12,8.27
2003-03-01,9.98,1.62,11.60,8.36
2003-04-01,10.35,1.18,11.53,9.17
2003-05-01,11.24,1.01,12.25,10.22
2003-06-01,,,,
2003-07-01,10.09,1.38,11.46,8.71
2003-08-01,10.01,1.27,11.28,8.74
2003-09-01,9.65,1.68,11.32,7.97
2003-10-01,9.55,1.09,10.64,8.46
2003-11-01,8.09,1.17,9.26,6.92
2003-12-01,6.67,0.97,7.64,5.70
2004-01-01,7.15,1.51,8.66,5.64
2004-02-01,9.45,1.33,10.78,8.12
2004-03-01,10.94,1.44,12.38,9.49
2004-04-01,11.76,1.54,13.30,10.23
2004-05-01,10.90,1.29,12.20,9.61
2004-06-01,10.73,1.27,12.00,9.46
2004-07-01,10.19,1.22,11.41,8.97
2004-08-01,10.52,0.70,11.22,9.81
2004-09-01,9.80,0.92,10.71,8.88
2004-10-01,8.38,1.28,9.66,7.10
2004-11-01,7.10,0.97,8.08,6.13
2004-12-01,6.12,0.73,6.85,5.39
2005-01-01,6.70,0.80,7.51,5.90
2005-02-01,8.22,0.80,9.02,7.42
2005-03-01,10.20,1.27,11.46,8.93
2005-04-01,10.24,1.13,11.37,9.12
2005-05-01,9.16,1.27,10.43,7.88
2005-06-01,10.08,1.10,11.18,8.98
2005-07-01,10.63,1.03,11.66,9.60
2005-08-01,10.03,1.37,11.40,8.66
2005-09-01,9.92,0.80,10.72,9.11
2005-10-01,8.66,1.14,9.81,7.52
2005-11-01,7.28,0.79,8.07,6.49
2005-12-01,5.84,0.64,6.48,5.20
2006-01-01,6.78,1.03,7.81,5.76
2006-02-01,8.24,0.99,9.23,7.25
2006-03-01,9.62,0.66,10.28,8.96
2006-04-01,10.70,0.97,11.67,9.72
2006-05-01,10.58,0.89,11.47,9.70
2006-06-01,10.73,1.67,12.40,9.06
2006-07-01,10.24,1.32,11.56,8.93
2006-08-01,10.05,1.39,11.44,8.66
2006-09-01,9.99,1.44,11.43,8.55
2006-10-01,8.88,1.42,10.30,7.46
2006-11-01,7.20,1.37,8.58,5.83
2006-12-01,6.92,0.95,7.87,5.97
2007-01-01,7.32,1.20,8.53,6.12
2007-02-01,9.71,1.64,11.35,8.07
2007-03-01,10.16,1.43,11.58,8.73
2007-04-01,10.68,2.06,12.75,8.62
2007-05-01,10.82,1.20,12.02,9.63
2007-06-01,11.04,1.22,12.26,9.82
2007-07-01,10.91,1.14,12.05,9.78
2007-08-01,10.50,1.86,12.37,8.64
2007-09-01,10.33,1.54,11.88,8.79
2007-10-01,9.33,2.04,11.37,7.29
2007-11-01,8.02,1.22,9.24,6.80
2007-12-01,6.75,0.67,7.42,6.08
2008-01-01,7.31,1.17,8.48,6.14
2008-02-01,8.92,0.74,9.66,8.17
2008-03-01,10.41,0.90,11.31,9.51
2008-04-01,10.62,1.16,11.78,9.46
2008-05-01,10.22,1.66,11.88,8.56
2008-06-01,10.52,1.28,11.80,9.24
2008-07-01,8.80,1.48,10.28,7.32
2008-08-01,8.26,1.48,9.74,6.78
2008-09-01,6.98,2.04,9.02,4.95
2008-10-01,6.78,1.65,8.43,5.13
2008-11-01,6.42,0.91,7.33,5.51
2008-12-01,4.82,0.45,5.27,4.37
2009-01-01,7.89,1.88,9.77,6.02
2009-02-01,8.68,1.10,9.78,7.58
2009-03-01,9.60,1.27,10.86,8.33
2009-04-01,10.18,1.70,11.88,8.48
2009-05-01,9.81,1.74,11.55,8.07
2009-06-01,10.28,1.15,11.44,9.13
2009-07-01,10.12,1.04,11.16,9.08
2009-08-01,9.86,1.34,11.20,8.52
2009-09-01,8.61,2.07,10.68,6.54
2009-10-01,8.56,1.31,9.87,7.24
2009-11-01,6.68,0.66,7.34,6.01
2009-12-01,6.44,0.94,7.38,5.51
2010-01-01,6.68,1.66,8.34,5.02
2010-02-01,8.40,2.11,10.51,6.30
2010-03-01,9.76,1.57,11.33,8.19
2010-04-01,10.61,1.22,11.84,9.39
2010-05-01,9.98,0.92,10.90,9.06
2010-06-01,9.74,1.08,10.82,8.66
2010-07-01,8.73,2.38,11.11,6.36
2010-08-01,9.52,1.56,11.08,7.96
2010-09-01,9.19,1.59,10.78,7.60
2010-10-01,8.65,1.23,9.88,7.42
2010-11-01,6.63,0.85,7.48,5.78
2010-12-01,5.52,0.40,5.92,5.11
2011-01-01,7.14,0.87,8.02,6.27
2011-02-01,8.18,0.72,8.90,7.46
2011-03-01,9.21,0.77,9.98,8.44
2011-04-01,10.28,1.10,11.38,9.17
2011-05-01,10.47,0.78,11.24,9.69
2011-06-01,10.52,1.92,12.44,8.59
2011-07-01,10.76,1.50,12.26,9.26
2011-08-01,10.93,1.06,11.99,9.86
2011-09-01,10.52,1.68,12.20,8.83
2011-10-01,8.99,1.03,10.02,7.96
2011-11-01,7.29,0.84,8.13,6.45
2011-12-01,6.40,0.50,6.91,5.90
2012-01-01,6.69,0.74,7.43,5.96
2012-02-01,8.10,1.67,9.77,6.44
2012-03-01,9.74,0.84,10.58,8.90
