Date,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
01-01,78.8,56.943,45.323,103.35,82.6,101.359,94.0,56.343,34.143,57.52,47.733,50.6,49.5,51.143,49.4,63.575,69.044,65.389,52.98,72.6
01-02,91.8,46.486,36.8,52.421,62.211,73.125,71.484,37.3,28.68,50.741,36.6,58.205,18.375,21.571,32.5,34.949,42.933,49.212,44.88,45.725
01-03,68.343,44.486,56.533,54.05,53.75,65.175,58.775,40.4,41.2,81.167,23.133,45.0,33.4,33.4,31.76,26.895,37.556,64.87,54.383,43.389
01-04,69.857,50.486,52.425,61.571,37.711,65.179,67.333,30.938,60.719,86.7,31.406,55.872,44.225,37.711,46.92,33.25,22.089,47.618,52.326,56.964
01-05,64.8,53.075,41.325,51.514,62.229,85.429,49.968,65.613,57.657,58.467,30.069,61.763,41.73,54.5,61.5,22.447,32.533,53.98,58.86,65.691
01-06,73.286,62.7,73.075,61.684,62.947,85.811,44.571,63.839,73.343,47.606,49.0,59.324,44.343,61.325,47.479,28.054,35.256,67.455,55.8,65.345
01-07,73.143,86.4,72.257,21.026,54.2,71.0,47.061,77.941,47.143,51.933,45.419,45.711,56.629,42.167,32.711,30.722,40.054,58.685,61.62,54.816
01-08,90.429,66.343,66.0,57.879,57.0,53.7,68.057,47.848,52.781,68.375,13.5,65.868,46.857,26.833,49.587,30.129,39.178,25.145,55.262,51.182
01-09,99.314,48.943,77.65,53.765,58.2,50.8,63.29,36.943,61.609,68.062,6.657,45.974,42.361,27.923,44.76,37.312,48.725,35.164,44.929,44.706
01-10,98.4,42.385,89.615,66.45,12.091,52.111,61.514,49.406,59.875,69.516,32.314,39.419,34.636,45.45,29.14,43.375,25.6,42.66,53.952,46.927
01-11,86.057,61.725,69.789,53.05,32.314,69.088,56.25,58.371,58.543,56.371,36.909,50.815,34.259,57.225,38.06,51.489,42.55,58.44,70.22,57.208
01-12,80.286,85.1,19.625,24.25,70.868,67.472,76.788,53.724,52.417,37.794,32.5,37.933,45.73,65.0,46.12,59.78,21.889,57.0,51.25,49.22
01-13,37.314,102.225,22.2,31.872,60.118,71.0,61.2,64.382,61.6,27.795,35.143,33.179,28.026,66.875,45.07,69.721,23.8,42.255,44.58,40.84
01-14,19.943,81.316,41.583,37.944,35.471,47.75,62.724,76.743,47.575,39.703,36.844,40.593,44.235,46.2,43.553,53.667,28.625,48.273,42.84,32.2
01-15,49.171,88.861,83.2,58.775,29.85,69.795,90.417,74.257,28.946,24.4,28.043,55.533,34.848,65.225,40.205,62.171,43.675,59.509,37.04,44.667
01-16,57.457,84.45,107.8,56.973,14.325,46.35,63.333,56.741,32.943,13.306,35.129,54.233,44.344,59.971,34.125,56.628,27.95,59.646,47.68,53.353
01-17,39.4,98.825,94.825,49.625,28.486,56.576,55.886,40.423,23.543,41.235,37.6,48.103,47.562,43.351,47.62,58.267,57.125,57.022,46.979,42.836
01-18,65.4,48.5,83.55,61.775,50.057,50.03,54.222,52.412,25.5,41.771,42.303,51.84,40.56,37.368,49.878,58.444,48.55,59.957,51.025,48.133
01-19,91.143,39.564,72.675,68.757,62.889,50.229,80.967,62.706,34.0,37.188,58.167,46.25,49.407,51.559,61.167,49.733,40.0,45.271,67.524,47.727
01-20,69.971,65.175,81.375,59.0,54.0,55.632,80.371,69.967,42.85,36.13,44.371,36.414,55.179,42.2,52.812,61.467,41.614,35.354,52.95,42.818
01-21,74.486,79.135,70.256,63.971,44.821,68.2,77.343,62.4,48.625,41.0,42.0,43.3,64.676,27.361,44.286,61.933,54.158,47.84,57.7,49.962
01-22,82.5,53.794,75.865,75.583,69.029,55.081,69.0,56.118,52.412,39.222,56.594,54.133,72.722,22.2,48.773,42.881,64.814,56.3,54.375,51.88
01-23,86.943,81.85,81.946,50.711,65.324,33.8,56.5,49.971,58.757,45.775,56.967,40.0,62.026,35.429,69.229,39.133,55.178,49.018,58.3,44.836
01-24,66.486,73.575,95.0,58.175,42.487,57.595,50.833,29.704,65.308,39.974,65.143,36.407,59.697,44.722,47.222,46.178,69.2,58.647,48.675,38.88
01-25,80.629,51.237,93.45,62.375,46.314,58.625,18.667,47.171,52.972,49.375,62.281,47.074,46.212,48.974,56.673,50.111,56.872,55.51,35.781,44.745
01-26,95.294,76.375,60.974,62.9,36.286,70.368,35.593,30.765,49.079,54.438,75.438,39.926,48.8,57.229,61.56,48.415,34.659,72.945,42.0,42.818
01-27,87.943,93.575,89.0,34.875,52.457,82.842,64.429,14.0,42.73,69.694,49.853,46.4,47.0,67.6,64.688,40.525,41.022,66.18,55.886,48.655
01-28,92.057,104.432,76.077,74.615,47.775,65.974,61.029,64.824,54.139,68.725,47.484,44.233,47.132,52.828,53.317,37.875,28.231,66.13,22.95,50.196
01-29,82.486,83.359,81.2,56.744,38.158,82.41,65.867,40.147,77.667,77.974,26.875,46.4,34.459,49.886,44.833,34.1,15.571,47.545,24.368,59.727
01-30,88.343,47.639,90.455,59.618,21.316,85.575,60.552,28.529,64.206,44.088,19.515,43.379,21.722,49.371,48.7,40.872,38.733,59.022,41.919,46.9
01-31,89.429,92.525,77.0,60.618,50.667,67.375,60.6,33.212,52.184,57.5,22.371,31.7,35.026,60.4,62.422,47.725,49.933,67.429,31.375,45.655
02-01,91.143,57.6,57.771,51.0,56.525,47.225,33.903,24.394,58.057,60.775,17.844,39.6,25.583,67.875,68.955,40.075,63.822,60.162,40.867,46.833
02-02,76.714,81.154,70.85,97.367,58.528,57.487,38.444,40.714,67.775,64.189,19.176,42.067,37.667,55.625,76.978,42.775,43.711,58.444,48.404,62.055
02-03,75.486,66.525,75.8,74.857,53.514,64.314,65.233,34.441,70.457,42.294,12.219,32.0,47.059,55.4,66.467,20.333,54.886,55.311,54.16,75.784
02-04,82.686,42.225,71.027,79.421,36.513,64.457,67.485,24.029,51.425,37.526,7.971,29.269,60.154,63.8,55.048,42.425,61.622,52.378,66.25,70.673
02-05,75.229,32.829,68.225,73.75,48.692,48.282,69.2,17.829,40.114,44.27,53.233,27.033,53.778,56.767,65.467,48.487,58.425,57.4,68.0,64.373
02-06,73.114,82.257,70.154,84.811,64.081,45.375,88.743,40.857,54.034,45.865,65.233,30.192,40.718,58.087,63.022,43.842,59.978,62.114,60.894,70.13
02-07,58.486,91.912,60.9,72.95,70.1,64.892,64.516,54.067,55.725,52.4,53.065,54.367,22.941,71.791,64.84,46.3,51.756,68.75,58.087,71.56
02-08,50.8,88.59,53.771,65.0,69.6,81.618,72.714,67.882,46.5,76.725,39.057,45.037,37.667,63.071,63.698,65.4,47.133,66.686,43.362,39.733
02-09,78.686,59.425,71.825,82.925,80.5,72.114,79.312,64.486,59.462,68.667,71.208,47.0,22.27,54.159,56.26,43.852,40.089,43.178,33.816,46.0
02-10,98.743,72.75,75.925,64.975,86.725,53.421,67.812,40.4,57.6,64.077,40.788,47.2,8.95,49.205,55.024,47.914,26.511,55.389,35.62,56.727
02-11,87.29,69.625,45.1,76.667,78.028,69.025,62.677,65.143,49.242,59.688,27.0,58.12,19.875,56.978,60.42,61.743,49.333,62.125,41.111,64.6
02-12,110.543,91.257,14.308,85.429,56.0,75.103,46.057,49.406,45.5,67.615,54.133,49.9,20.175,56.405,60.592,40.4,48.822,69.9,55.698,54.0
02-13,118.543,101.8,20.025,80.686,46.056,71.475,48.929,70.8,48.862,77.125,50.348,47.133,19.528,49.8,59.72,29.475,50.818,61.225,47.2,42.725
02-14,90.886,94.971,69.775,65.8,39.658,61.091,75.419,68.069,38.529,87.925,39.233,46.517,20.75,45.646,69.867,17.4,75.311,60.543,46.72,56.717
02-15,95.086,75.7,85.949,49.538,47.375,71.579,72.194,61.812,59.371,88.125,40.769,51.067,30.795,60.319,50.68,39.175,62.051,48.196,51.8,55.152
02-16,87.829,83.475,67.575,83.6,50.282,67.947,83.2,52.375,61.485,68.125,39.407,46.233,28.192,41.918,52.98,40.725,61.5,43.62,61.82,66.582
02-17,90.543,82.714,78.125,59.1,46.778,72.525,74.269,66.333,59.857,74.235,11.939,49.808,27.545,63.271,51.333,32.375,51.875,39.721,61.082,54.473
02-18,95.514,68.657,91.35,72.973,51.553,63.895,55.088,58.114,61.0,76.525,22.2,48.241,30.838,43.073,58.93,62.6,57.422,53.86,62.32,43.4
02-19,65.829,72.559,85.825,83.412,76.636,81.205,71.771,64.6,55.885,63.575,41.433,57.633,45.947,63.2,64.109,60.368,73.489,45.44,57.822,35.714
02-20,34.0,73.675,77.025,40.586,41.686,97.225,82.029,77.914,68.175,44.289,47.667,68.8,46.568,43.02,85.739,58.875,60.6,41.756,53.805,27.6
02-21,70.257,74.025,56.838,37.211,51.342,63.8,77.147,67.758,60.105,52.125,53.367,68.967,54.5,48.326,76.42,76.175,85.467,60.7,63.878,25.489
02-22,81.6,82.5,38.206,70.925,40.25,74.645,81.057,72.914,66.263,33.475,50.0,72.0,62.875,50.159,76.0,69.775,70.711,66.04,72.853,31.712
02-23,81.4,81.975,58.15,57.625,31.176,63.135,83.375,73.613,78.829,43.975,43.033,70.2,57.206,59.22,80.72,42.175,66.548,57.28,63.375,40.764
02-24,98.657,54.325,77.975,59.083,32.872,54.125,70.789,84.914,49.533,49.368,42.273,71.885,56.297,46.438,72.12,58.1,71.629,57.48,70.2,53.836
02-25,98.6,68.575,76.816,90.475,61.944,62.595,67.575,96.143,56.552,42.515,53.8,77.769,48.475,38.614,78.435,58.25,65.5,72.96,65.475,51.556
02-26,84.725,68.6,82.455,64.429,89.275,25.868,37.9,56.714,68.462,48.079,50.382,74.833,70.15,36.85,68.878,55.55,66.13,57.46,61.911,46.836
02-27,63.225,73.925,53.65,64.139,88.568,39.525,68.97,52.171,55.939,43.289,70.8,70.333,53.225,45.178,58.395,43.5,51.333,71.182,62.825,45.76
02-28,87.429,97.025,32.4,77.829,73.975,40.297,52.622,71.324,63.647,44.1,57.914,55.417,55.486,57.333,66.867,53.65,55.4,70.776,69.432,55.691
03-01,84.875,61.225,38.05,75.525,69.086,45.472,54.667,81.114,67.55,44.8,48.312,56.56,59.974,38.119,72.54,69.425,58.979,71.133,69.976,57.389
03-02,100.4,22.575,39.075,99.275,75.641,49.95,52.605,90.429,72.225,41.297,58.31,56.867,67.778,48.378,72.45,59.0,47.12,63.76,68.732,65.648
03-03,91.3,39.95,57.795,71.333,50.949,27.054,63.1,79.471,71.795,39.552,60.448,58.111,87.818,56.667,74.676,70.886,23.5,54.641,60.933,71.545
03-04,81.675,78.771,55.487,84.433,56.171,53.947,72.368,54.171,59.625,48.433,68.871,63.731,84.85,63.143,50.326,86.625,48.94,54.533,65.7,58.54
03-05,101.525,71.4,73.925,55.206,49.875,59.744,72.486,52.097,53.053,55.286,65.152,73.208,51.1,69.225,45.178,53.85,45.776,50.18,62.086,57.154
03-06,101.75,101.744,76.417,85.056,79.914,24.275,55.028,59.036,50.667,64.943,38.314,66.409,58.103,69.25,59.62,59.125,54.26,58.837,68.2,49.2
03-07,70.225,109.487,76.5,86.286,77.571,24.222,56.541,62.765,39.083,92.829,77.057,69.0,58.323,56.778,50.82,54.55,63.4,60.604,58.15,66.045
03-08,89.975,78.278,83.718,81.615,71.2,23.394,76.225,86.6,53.575,88.086,40.032,59.35,67.143,67.591,45.6,61.55,55.143,61.26,58.55,57.98
03-09,93.875,107.95,69.075,67.371,32.5,47.941,76.615,85.057,60.077,66.914,44.857,62.75,76.023,64.9,32.62,60.775,41.8,66.628,62.632,70.473
03-10,115.632,75.95,43.825,73.765,51.026,65.85,60.0,67.788,29.975,78.633,49.143,49.105,72.581,50.733,25.5,39.513,27.111,65.62,74.825,73.927
