Radiation
city: Ciudad de M&eacute;xico
cityCode: MEX
country: M&eacute;xico
mesurementAgency: SIMAT
URL: http://www.aire.cdmx.gob.mx
timeStamp: 2001/01/01 al 2001/12/31
average_interval: 001h
Date,cve_station,parameter,value,unit

01-01-2001 01:00,FAC,UVA,,17
01-01-2001 01:00,HAN,UVA,,17
01-01-2001 01:00,MER,UVA,,17
01-01-2001 01:00,MON,UVA,0,17
01-01-2001 01:00,PED,UVA,,17
01-01-2001 01:00,SAG,UVA,,17
01-01-2001 01:00,TLA,UVA,,17
01-01-2001 02:00,FAC,UVA,,17
01-01-2001 02:00,HAN,UVA,,17
01-01-2001 02:00,MER,UVA,,17
01-01-2001 02:00,MON,UVA,0,17
01-01-2001 02:00,PED,UVA,,17
01-01-2001 02:00,SAG,UVA,,17
01-01-2001 02:00,TLA,UVA,,17
01-01-2001 03:00,FAC,UVA,,17
01-01-2001 03:00,HAN,UVA,,17
01-01-2001 03:00,MER,UVA,,17
01-01-2001 03:00,MON,UVA,0,17
01-01-2001 03:00,PED,UVA,,17
01-01-2001 03:00,SAG,UVA,,17
01-01-2001 03:00,TLA,UVA,,17
01-01-2001 04:00,FAC,UVA,,17
01-01-2001 04:00,HAN,UVA,,17
01-01-2001 04:00,MER,UVA,,17
01-01-2001 04:00,MON,UVA,0,17
01-01-2001 04:00,PED,UVA,,17
01-01-2001 04:00,SAG,UVA,,17
01-01-2001 04:00,TLA,UVA,,17
01-01-2001 05:00,FAC,UVA,,17
01-01-2001 05:00,HAN,UVA,,17
01-01-2001 05:00,MER,UVA,,17
01-01-2001 05:00,MON,UVA,0,17
01-01-2001 05:00,PED,UVA,,17
01-01-2001 05:00,SAG,UVA,,17
01-01-2001 05:00,TLA,UVA,,17
01-01-2001 06:00,FAC,UVA,,17
01-01-2001 06:00,HAN,UVA,,17
01-01-2001 06:00,MER,UVA,,17
01-01-2001 06:00,MON,UVA,0,17
01-01-2001 06:00,PED,UVA,,17
01-01-2001 06:00,SAG,UVA,,17
01-01-2001 06:00,TLA,UVA,,17
01-01-2001 07:00,FAC,UVA,,17
01-01-2001 07:00,HAN,UVA,,17
01-01-2001 07:00,MER,UVA,,17
01-01-2001 07:00,MON,UVA,0,17
01-01-2001 07:00,PED,UVA,,17
01-01-2001 07:00,SAG,UVA,,17
