Radiation
city: Ciudad de M&eacute;xico
cityCode: MEX
country: M&eacute;xico
mesurementAgency: SIMAT
URL: http://www.aire.cdmx.gob.mx
timeStamp: 2014/01/01 al 2014/12/31
average_interval: 001h
Date,cve_station,parameter,value,unit

01-01-2014 01:00,MER,UVB,0,16
01-01-2014 01:00,MON,UVB,,16
01-01-2014 01:00,PED,UVB,0,16
01-01-2014 01:00,SAG,UVB,,16
01-01-2014 01:00,SFE,UVB,0,16
01-01-2014 01:00,TLA,UVB,0,16
01-01-2014 02:00,MER,UVB,0,16
01-01-2014 02:00,MON,UVB,,16
01-01-2014 02:00,PED,UVB,0,16
01-01-2014 02:00,SAG,UVB,,16
01-01-2014 02:00,SFE,UVB,0,16
01-01-2014 02:00,TLA,UVB,0,16
01-01-2014 03:00,MER,UVB,0,16
01-01-2014 03:00,MON,UVB,,16
01-01-2014 03:00,PED,UVB,0,16
01-01-2014 03:00,SAG,UVB,,16
01-01-2014 03:00,SFE,UVB,0,16
01-01-2014 03:00,TLA,UVB,0,16
01-01-2014 04:00,MER,UVB,0,16
01-01-2014 04:00,MON,UVB,,16
01-01-2014 04:00,PED,UVB,0,16
01-01-2014 04:00,SAG,UVB,,16
01-01-2014 04:00,SFE,UVB,0,16
01-01-2014 04:00,TLA,UVB,0,16
01-01-2014 05:00,MER,UVB,0,16
01-01-2014 05:00,MON,UVB,,16
01-01-2014 05:00,PED,UVB,0,16
01-01-2014 05:00,SAG,UVB,,16
01-01-2014 05:00,SFE,UVB,0,16
01-01-2014 05:00,TLA,UVB,0,16
01-01-2014 06:00,MER,UVB,0,16
01-01-2014 06:00,MON,UVB,,16
01-01-2014 06:00,PED,UVB,0,16
01-01-2014 06:00,SAG,UVB,,16
01-01-2014 06:00,SFE,UVB,0,16
01-01-2014 06:00,TLA,UVB,0,16
01-01-2014 07:00,MER,UVB,0.009,16
01-01-2014 07:00,MON,UVB,,16
01-01-2014 07:00,PED,UVB,0,16
01-01-2014 07:00,SAG,UVB,,16
01-01-2014 07:00,SFE,UVB,0,16
01-01-2014 07:00,TLA,UVB,0.001,16
01-01-2014 08:00,MER,UVB,0.018,16
01-01-2014 08:00,MON,UVB,,16
01-01-2014 08:00,PED,UVB,0.007,16
01-01-2014 08:00,SAG,UVB,,16
01-01-2014 08:00,SFE,UVB,0.006,16
01-01-2014 08:00,TLA,UVB,0.013,16
01-01-2014 09:00,MER,UVB,0.114,16
01-01-2014 09:00,MON,UVB,,16
01-01-2014 09:00,PED,UVB,0.062,16
01-01-2014 09:00,SAG,UVB,,16
01-01-2014 09:00,SFE,UVB,0.068,16
01-01-2014 09:00,TLA,UVB,0.074,16
01-01-2014 10:00,MER,UVB,0.366,16
01-01-2014 10:00,MON,UVB,,16
01-01-2014 10:00,PED,UVB,0.4,16
01-01-2014 10:00,SAG,UVB,,16
01-01-2014 10:00,SFE,UVB,0.251,16
01-01-2014 10:00,TLA,UVB,0.274,16
01-01-2014 11:00,MER,UVB,1.16,16
01-01-2014 11:00,MON,UVB,,16
01-01-2014 11:00,PED,UVB,0.816,16
01-01-2014 11:00,SAG,UVB,,16
01-01-2014 11:00,SFE,UVB,0.888,16
01-01-2014 11:00,TLA,UVB,1.185,16
01-01-2014 12:00,MER,UVB,2.136,16
01-01-2014 12:00,MON,UVB,,16
01-01-2014 12:00,PED,UVB,1.819,16
01-01-2014 12:00,SAG,UVB,,16
01-01-2014 12:00,SFE,UVB,2.235,16
01-01-2014 12:00,TLA,UVB,2.188,16
01-01-2014 13:00,MER,UVB,2.542,16
01-01-2014 13:00,MON,UVB,,16
01-01-2014 13:00,PED,UVB,2.264,16
01-01-2014 13:00,SAG,UVB,,16
01-01-2014 13:00,SFE,UVB,2.414,16
01-01-2014 13:00,TLA,UVB,2.662,16
01-01-2014 14:00,MER,UVB,1.994,16
01-01-2014 14:00,MON,UVB,,16
01-01-2014 14:00,PED,UVB,1.607,16
01-01-2014 14:00,SAG,UVB,,16
01-01-2014 14:00,SFE,UVB,1.436,16
01-01-2014 14:00,TLA,UVB,1.574,16
01-01-2014 15:00,MER,UVB,1.165,16
01-01-2014 15:00,MON,UVB,,16
01-01-2014 15:00,PED,UVB,1.178,16
01-01-2014 15:00,SAG,UVB,,16
01-01-2014 15:00,SFE,UVB,1.418,16
01-01-2014 15:00,TLA,UVB,0.924,16
01-01-2014 16:00,MER,UVB,0.64,16
01-01-2014 16:00,MON,UVB,,16
01-01-2014 16:00,PED,UVB,0.562,16
01-01-2014 16:00,SAG,UVB,,16
01-01-2014 16:00,SFE,UVB,0.72,16
01-01-2014 16:00,TLA,UVB,0.569,16
01-01-2014 17:00,MER,UVB,0.267,16
01-01-2014 17:00,MON,UVB,,16
01-01-2014 17:00,PED,UVB,0.304,16
01-01-2014 17:00,SAG,UVB,,16
01-01-2014 17:00,SFE,UVB,0.263,16
01-01-2014 17:00,TLA,UVB,0.282,16
01-01-2014 18:00,MER,UVB,0.058,16
01-01-2014 18:00,MON,UVB,,16
01-01-2014 18:00,PED,UVB,0.061,16
01-01-2014 18:00,SAG,UVB,,16
01-01-2014 18:00,SFE,UVB,0.059,16
01-01-2014 18:00,TLA,UVB,0.061,16
01-01-2014 19:00,MER,UVB,0.001,16
01-01-2014 19:00,MON,UVB,,16
01-01-2014 19:00,PED,UVB,0.003,16
01-01-2014 19:00,SAG,UVB,,16
01-01-2014 19:00,SFE,UVB,0.001,16
01-01-2014 19:00,TLA,UVB,0.004,16
01-01-2014 20:00,MER,UVB,0,16
01-01-2014 20:00,MON,UVB,,16
01-01-2014 20:00,PED,UVB,0,16
01-01-2014 20:00,SAG,UVB,,16
01-01-2014 20:00,SFE,UVB,0,16
01-01-2014 20:00,TLA,UVB,0,16
01-01-2014 21:00,MER,UVB,0,16
01-01-2014 21:00,MON,UVB,,16
01-01-2014 21:00,PED,UVB,0,16
01-01-2014 21:00,SAG,UVB,,16
01-01-2014 21:00,SFE,UVB,0,16
01-01-2014 21:00,TLA,UVB,0,16
01-01-2014 22:00,MER,UVB,0,16
01-01-2014 22:00,MON,UVB,,16
01-01-2014 22:00,PED,UVB,0,16
01-01-2014 22:00,SAG,UVB,,16
01-01-2014 22:00,SFE,UVB,0,16
01-01-2014 22:00,TLA,UVB,0,16
01-01-2014 23:00,MER,UVB,0,16
01-01-2014 23:00,MON,UVB,,16
01-01-2014 23:00,PED,UVB,0,16
01-01-2014 23:00,SAG,UVB,,16
01-01-2014 23:00,SFE,UVB,0,16
01-01-2014 23:00,TLA,UVB,0,16
01-01-2014 24:00,MER,UVB,0,16
01-01-2014 24:00,MON,UVB,,16
01-01-2014 24:00,PED,UVB,0,16
01-01-2014 24:00,SAG,UVB,,16
01-01-2014 24:00,SFE,UVB,0,16
01-01-2014 24:00,TLA,UVB,0,16
02-01-2014 01:00,MER,UVB,0,16
02-01-2014 01:00,MON,UVB,,16
02-01-2014 01:00,PED,UVB,0,16
02-01-2014 01:00,SAG,UVB,,16
02-01-2014 01:00,SFE,UVB,0,16
02-01-2014 01:00,TLA,UVB,0,16
02-01-2014 02:00,MER,UVB,0,16
02-01-2014 02:00,MON,UVB,,16
02-01-2014 02:00,PED,UVB,0,16
02-01-2014 02:00,SAG,UVB,,16
02-01-2014 02:00,SFE,UVB,0,16
02-01-2014 02:00,TLA,UVB,0,16
02-01-2014 03:00,MER,UVB,0,16
02-01-2014 03:00,MON,UVB,,16
02-01-2014 03:00,PED,UVB,0,16
02-01-2014 03:00,SAG,UVB,,16
02-01-2014 03:00,SFE,UVB,0,16
02-01-2014 03:00,TLA,UVB,0,16
02-01-2014 04:00,MER,UVB,0,16
02-01-2014 04:00,MON,UVB,,16
02-01-2014 04:00,PED,UVB,0,16
02-01-2014 04:00,SAG,UVB,,16
02-01-2014 04:00,SFE,UVB,0,16
02-01-2014 04:00,TLA,UVB,0,16
02-01-2014 05:00,MER,UVB,0,16
02-01-2014 05:00,MON,UVB,,16
02-01-2014 05:00,PED,UVB,0,16
02-01-2014 05:00,SAG,UVB,,16
02-01-2014 05:00,SFE,UVB,0,16
02-01-2014 05:00,TLA,UVB,0,16
02-01-2014 06:00,MER,UVB,0,16
02-01-2014 06:00,MON,UVB,,16
02-01-2014 06:00,PED,UVB,0,16
02-01-2014 06:00,SAG,UVB,,16
02-01-2014 06:00,SFE,UVB,0,16
02-01-2014 06:00,TLA,UVB,0,16
02-01-2014 07:00,MER,UVB,0.008,16
02-01-2014 07:00,MON,UVB,,16
02-01-2014 07:00,PED,UVB,0,16
02-01-2014 07:00,SAG,UVB,,16
02-01-2014 07:00,SFE,UVB,0,16
02-01-2014 07:00,TLA,UVB,0,16
02-01-2014 08:00,MER,UVB,0.025,16
02-01-2014 08:00,MON,UVB,,16
02-01-2014 08:00,PED,UVB,0.02,16
02-01-2014 08:00,SAG,UVB,,16
02-01-2014 08:00,SFE,UVB,0.011,16
02-01-2014 08:00,TLA,UVB,0.028,16
02-01-2014 09:00,MER,UVB,0.19,16
02-01-2014 09:00,MON,UVB,,16
02-01-2014 09:00,PED,UVB,0.221,16
02-01-2014 09:00,SAG,UVB,,16
02-01-2014 09:00,SFE,UVB,0.164,16
02-01-2014 09:00,TLA,UVB,0.187,16
02-01-2014 10:00,MER,UVB,0.645,16
02-01-2014 10:00,MON,UVB,,16
02-01-2014 10:00,PED,UVB,0.667,16
02-01-2014 10:00,SAG,UVB,,16
02-01-2014 10:00,SFE,UVB,0.429,16
02-01-2014 10:00,TLA,UVB,0.514,16
02-01-2014 11:00,MER,UVB,1.019,16
02-01-2014 11:00,MON,UVB,,16
02-01-2014 11:00,PED,UVB,1.048,16
02-01-2014 11:00,SAG,UVB,,16
02-01-2014 11:00,SFE,UVB,1.067,16
02-01-2014 11:00,TLA,UVB,0.868,16
02-01-2014 12:00,MER,UVB,1.294,16
02-01-2014 12:00,MON,UVB,,16
02-01-2014 12:00,PED,UVB,1.132,16
02-01-2014 12:00,SAG,UVB,,16
02-01-2014 12:00,SFE,UVB,1.195,16
02-01-2014 12:00,TLA,UVB,1.463,16
02-01-2014 13:00,MER,UVB,1.654,16
02-01-2014 13:00,MON,UVB,,16
02-01-2014 13:00,PED,UVB,1.352,16
02-01-2014 13:00,SAG,UVB,,16
02-01-2014 13:00,SFE,UVB,1.171,16
02-01-2014 13:00,TLA,UVB,1.878,16
02-01-2014 14:00,MER,UVB,1.493,16
02-01-2014 14:00,MON,UVB,,16
02-01-2014 14:00,PED,UVB,0.957,16
02-01-2014 14:00,SAG,UVB,,16
02-01-2014 14:00,SFE,UVB,1.004,16
02-01-2014 14:00,TLA,UVB,1.707,16
02-01-2014 15:00,MER,UVB,0.659,16
02-01-2014 15:00,MON,UVB,,16
02-01-2014 15:00,PED,UVB,1.233,16
02-01-2014 15:00,SAG,UVB,,16
02-01-2014 15:00,SFE,UVB,0.14,16
02-01-2014 15:00,TLA,UVB,0.461,16
02-01-2014 16:00,MER,UVB,0.312,16
02-01-2014 16:00,MON,UVB,,16
02-01-2014 16:00,PED,UVB,0.425,16
02-01-2014 16:00,SAG,UVB,,16
02-01-2014 16:00,SFE,UVB,0.629,16
02-01-2014 16:00,TLA,UVB,0.237,16
02-01-2014 17:00,MER,UVB,0.346,16
02-01-2014 17:00,MON,UVB,,16
02-01-2014 17:00,PED,UVB,0.29,16
02-01-2014 17:00,SAG,UVB,,16
02-01-2014 17:00,SFE,UVB,0.304,16
02-01-2014 17:00,TLA,UVB,0.237,16
02-01-2014 18:00,MER,UVB,0.024,16
02-01-2014 18:00,MON,UVB,,16
02-01-2014 18:00,PED,UVB,0.033,16
02-01-2014 18:00,SAG,UVB,,16
02-01-2014 18:00,SFE,UVB,0.009,16
02-01-2014 18:00,TLA,UVB,0.048,16
02-01-2014 19:00,MER,UVB,0.002,16
02-01-2014 19:00,MON,UVB,,16
02-01-2014 19:00,PED,UVB,0.003,16
02-01-2014 19:00,SAG,UVB,,16
02-01-2014 19:00,SFE,UVB,0,16
02-01-2014 19:00,TLA,UVB,0.004,16
02-01-2014 20:00,MER,UVB,0,16
02-01-2014 20:00,MON,UVB,,16
02-01-2014 20:00,PED,UVB,0,16
02-01-2014 20:00,SAG,UVB,,16
02-01-2014 20:00,SFE,UVB,0,16
02-01-2014 20:00,TLA,UVB,0,16
02-01-2014 21:00,MER,UVB,0,16
02-01-2014 21:00,MON,UVB,,16
02-01-2014 21:00,PED,UVB,0,16
02-01-2014 21:00,SAG,UVB,,16
02-01-2014 21:00,SFE,UVB,0,16
02-01-2014 21:00,TLA,UVB,0,16
02-01-2014 22:00,MER,UVB,0,16
02-01-2014 22:00,MON,UVB,,16
02-01-2014 22:00,PED,UVB,0,16
02-01-2014 22:00,SAG,UVB,,16
02-01-2014 22:00,SFE,UVB,0,16
02-01-2014 22:00,TLA,UVB,0,16
02-01-2014 23:00,MER,UVB,0,16
02-01-2014 23:00,MON,UVB,,16
02-01-2014 23:00,PED,UVB,0,16
02-01-2014 23:00,SAG,UVB,,16
02-01-2014 23:00,SFE,UVB,0,16
02-01-2014 23:00,TLA,UVB,0,16
02-01-2014 24:00,MER,UVB,0,16
02-01-2014 24:00,MON,UVB,,16
02-01-2014 24:00,PED,UVB,0,16
02-01-2014 24:00,SAG,UVB,,16
02-01-2014 24:00,SFE,UVB,0,16
02-01-2014 24:00,TLA,UVB,0,16
03-01-2014 01:00,MER,UVB,0,16
03-01-2014 01:00,MON,UVB,,16
03-01-2014 01:00,PED,UVB,0,16
03-01-2014 01:00,SAG,UVB,,16
03-01-2014 01:00,SFE,UVB,0,16
03-01-2014 01:00,TLA,UVB,0,16
03-01-2014 02:00,MER,UVB,0,16
03-01-2014 02:00,MON,UVB,,16
03-01-2014 02:00,PED,UVB,0,16
03-01-2014 02:00,SAG,UVB,,16
03-01-2014 02:00,SFE,UVB,0,16
03-01-2014 02:00,TLA,UVB,0,16
03-01-2014 03:00,MER,UVB,0,16
03-01-2014 03:00,MON,UVB,,16
03-01-2014 03:00,PED,UVB,0,16
03-01-2014 03:00,SAG,UVB,,16
03-01-2014 03:00,SFE,UVB,0,16
03-01-2014 03:00,TLA,UVB,0,16
03-01-2014 04:00,MER,UVB,0,16
03-01-2014 04:00,MON,UVB,,16
03-01-2014 04:00,PED,UVB,0,16
