Date,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
01-01,23.72,53.367,9.296,12.767,54.633,17.64,8.0,13.6,2.367,9.417,1.04,2.32,6.125,1.914,4.578,9.044,24.286,2.364,21.38,3.26
01-02,25.92,56.367,6.074,9.519,36.607,13.28,12.5,13.1,2.7,3.72,8.68,14.24,1.45,3.829,16.778,1.682,2.829,3.204,4.347,6.4
01-03,16.84,21.8,10.458,27.933,17.3,23.2,14.231,12.933,4.92,6.64,11.56,4.318,2.475,13.433,2.067,1.023,16.314,18.37,7.957,7.345
01-04,12.24,99.267,9.792,31.16,8.214,16.52,18.75,3.2,13.867,6.0,2.0,8.48,11.7,24.394,5.333,2.8,11.629,3.291,16.413,5.327
01-05,36.96,49.4,7.741,10.56,16.92,30.2,32.88,7.762,18.9,3.72,3.5,5.667,14.243,12.6,3.978,13.267,2.714,5.44,3.725,8.727
01-06,17.52,27.2,10.333,14.857,8.286,14.08,3.688,4.56,10.3,2.478,9.833,7.087,3.714,6.343,5.744,4.881,1.172,3.8,8.14,4.727
01-07,16.64,30.367,18.95,5.393,14.933,15.333,30.48,11.44,4.7,10.087,7.769,3.24,6.943,10.29,12.244,1.61,1.032,30.0,7.12,5.224
01-08,19.68,28.759,17.458,13.789,21.409,9.4,27.2,3.13,4.926,15.458,2.214,4.125,2.657,2.182,16.146,1.111,1.057,11.436,6.087,2.673
01-09,15.8,41.222,26.433,23.0,12.2,3.48,20.905,35.24,7.35,11.56,4.3,0.958,2.583,1.059,3.933,3.242,2.486,12.127,6.674,9.333
01-10,19.12,21.167,19.621,33.4,6.96,8.84,14.92,13.364,4.931,14.24,8.633,2.636,3.303,2.718,2.778,3.444,1.914,15.412,11.9,1.909
01-11,38.96,43.4,17.071,12.933,17.56,18.0,22.316,9.682,5.3,13.48,5.765,5.5,2.111,15.306,12.378,4.022,1.371,5.68,4.52,3.66
01-12,31.96,63.867,9.7,30.767,33.607,13.926,12.72,4.053,4.0,21.208,14.8,1.24,2.889,6.541,2.8,3.317,3.065,8.945,2.08,19.691
01-13,20.8,40.8,5.36,17.6,37.44,8.393,17.24,7.24,22.2,5.034,9.7,9.364,5.132,2.775,19.947,4.209,1.486,4.709,7.56,1.073
01-14,11.8,41.767,20.75,12.37,63.583,25.9,5.35,6.44,5.967,14.207,1.741,14.292,8.486,1.775,3.024,6.711,1.057,27.527,8.92,3.764
01-15,10.96,30.633,12.6,22.033,9.033,33.4,20.0,15.0,15.036,19.12,1.455,3.24,5.394,7.405,1.462,4.171,1.8,9.345,23.58,7.815
01-16,9.16,38.867,19.423,24.038,6.4,3.75,10.0,6.261,3.04,3.483,11.138,1.08,5.625,3.743,4.814,4.674,3.4,7.043,14.48,6.8
01-17,10.0,31.2,23.0,7.167,1.44,9.941,9.818,5.312,2.48,3.5,1.3,2.708,4.438,21.459,12.422,5.2,7.2,4.133,3.298,14.927
01-18,25.0,22.167,17.933,18.833,3.05,8.125,16.474,9.583,3.31,15.6,2.143,3.45,18.08,19.263,4.0,6.0,3.743,3.848,12.87,5.956
01-19,27.92,13.7,19.267,10.963,9.542,9.95,21.28,19.208,4.4,5.37,4.154,3.304,7.5,18.436,10.558,9.333,8.242,2.49,3.932,8.691
01-20,34.2,33.233,8.833,12.107,14.72,9.625,18.48,4.96,12.667,19.227,3.6,2.792,5.286,24.825,6.978,4.0,10.471,0.979,3.533,3.2
01-21,39.6,35.333,15.172,13.481,21.231,24.0,25.32,3.76,12.7,7.828,2.7,4.32,7.9,23.231,2.75,2.467,3.321,1.84,4.356,13.118
01-22,18.04,94.958,10.316,16.808,12.808,23.04,12.68,4.917,8.458,11.808,4.593,4.0,5.725,5.429,4.0,1.595,3.03,2.0,3.978,2.26
01-23,16.84,34.7,10.13,7.964,63.25,4.12,5.955,9.92,12.0,5.233,4.64,1.28,4.436,7.697,7.581,2.111,6.706,4.86,14.556,1.855
01-24,18.6,40.533,15.679,14.067,8.8,7.0,10.44,2.588,6.2,4.5,4.1,1.833,3.343,5.5,3.333,5.044,4.971,2.588,4.9,1.7
01-25,24.76,100.967,6.9,14.5,6.72,15.333,8.35,5.2,15.63,12.967,19.296,2.727,2.424,9.727,12.205,8.925,4.765,2.529,2.838,2.945
01-26,23.84,64.2,22.333,11.467,8.35,11.25,21.118,5.92,5.4,5.44,8.889,9.727,3.5,14.333,4.667,5.175,1.714,9.018,5.2,1.891
01-27,17.8,39.733,15.92,5.545,23.96,13.357,9.889,3.08,27.407,5.607,8.241,2.68,11.895,7.567,3.375,11.027,1.6,7.4,4.653,4.818
01-28,41.0,26.0,35.64,23.345,19.533,12.679,15.72,5.68,15.037,7.2,4.423,30.64,5.921,2.958,2.857,3.625,8.517,6.5,2.24,2.392
